№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru,Description_kor,Description_jpn,Description_zho,Description_rus
437,1,Байгалийн үзэсгэлэнт газар,Тэмээ хад,Camel Rock,Улаанбаатар,Ulaanbaatar,Налайх,Nalaykh,47.93082,107.42264,Тэрэлжийн гүүрнээс зүүн хойд зүгт 18 км зайтай оршино.,It is located 18 km northeast of the Terelj bridge.,https://www.dropbox.com/scl/fi/p5oslf6e16qhn5cbhn7lh/.jpg?rlkey=m1neouifdbu10txjregbjnf5e&draw=1,낙타바위,ラクダ岩,骆驼岩,Верблюжья скала,Terelj 다리에서 북동쪽으로 18km 떨어져 있습니다.,テレルジ橋の北東 18 km に位置します。,它位于特日勒吉大桥东北18公里处。,Он расположен в 18 км к северо-востоку от моста Тэрэлж.
438,2,Түүхийн дурсгалт газар,Цонжин болдог,Tsonjin Boldog,Улаанбаатар,Ulaanbaatar,Налайх,Nalaykh,47.80804,107.52993,Улаанбаатар хотоос зүүн зүгт 53 км зайтай оршино. ,It is located 53 km east of Ulaanbaatar.,https://www.dropbox.com/scl/fi/2xmiclmfrie9oqkjxcvnj/Tsonjinboldog.jpg?rlkey=i6xn4dkxnp4gqg3y3ow8zru2m&raw=1,촌진 볼독,ツォンジン・ボルドッグ,颂金博尔多格,Цонджин Болдог,울란바토르에서 동쪽으로 53km 떨어져 있다.,ウランバートルの東53kmに位置する。,它位于乌兰巴托以东53公里处。,Он расположен в 53 км к востоку от Улан-Батора.
439,1,Байгалийн үзэсгэлэнт газар,Мэлхий хад,Turtle Rock,Улаанбаатар ,Ulaanbaatar,Налайх,Nalaykh,47.9077,107.42273,Налайх дүүргээс зүүн хойд зүгт 24 км зайтай оршино.,It is located 24 km northeast of Nalaikh district.,https://www.dropbox.com/scl/fi/yzgb644m5o8a915vq6p7c/.jpg?rlkey=uic41m66i6yvvnhmws4pu4cwv&raw=1,거북바위,亀岩,龟岩,Черепашья скала,Nalaikh 지역에서 북동쪽으로 24km 떨어져 있습니다.,ナライク地区の北東 24 km に位置します。,它位于纳莱赫区东北24公里处。,Он расположен в 24 км к северо-востоку от Налайхского района.
440,3,Шашны дурсгалт газар,Дамбадаржаа хийд,Dambadarjaa Monastery,Улаанбаатар ,Ulaanbaatar,Сүхбаатар,Sukhbaatar,47.98234,106.93691,Энэ хийд нь 1765 онд Хоёрдугаар Богд Жавзандамба хутагтын дурсгалд зориулан үүсгэн байгуулагдсан юм.,This monastery was founded in 1765 in memory of the Second Bogd Javzandamba Khutaght.,https://www.dropbox.com/scl/fi/reiimficy2vyxxp6dph6g/.jpg?rlkey=1oefhm2k572uy6i25ipr1dron&raw=1,담바다르자 수도원,ダンバダルジャ僧院,丹巴达贾寺,Монастырь Дамбадарджа,이 수도원은 두 번째 Bogd Javzandamba Khutaght를 기념하여 1765년에 설립되었습니다.,この修道院は、2 代目ボグド ジャブザンダンバ クタハトを記念して 1765 年に設立されました。,这座修道院建于 1765 年，是为了纪念第二代博格德·贾夫赞丹巴·呼塔格特 (Bogd Javzandamba Khutaght)。,Этот монастырь был основан в 1765 году в память о Втором Богде Джавзандамба Хутахте.
441,1,Байгалийн үзэсгэлэнт газар,Баатар хайрхан уул (1606м) Ховд,Baatarkharkhan Mountain (1606m),Ховд,Khovd,Жаргалант,Jargalant,47.94733,91.61875,Жаргалант сумын төвөөс өмнө зүгт 5 км зайтай оршино.,It is located 5 km south of the center of Jargalant soum.,https://www.dropbox.com/scl/fi/05vuos8e6jfwizr59ul7h/.jpeg?rlkey=0qa1jeb0k7421exitrsf5msfu&raw=1,바타르 카이르칸 산,バータル・ハイルハン山,巴塔尔·海尔汗山,Гора Баатархайрхан,Jargalant soum 중심에서 남쪽으로 5km 떨어져 있습니다.,ジャルガラント スームの中心部から南に 5 km に位置します。,它位于贾加兰特苏姆中心以南5公里处。,Расположен в 5 км к югу от центра сомона Джаргалант.
442,1,Байгалийн үзэсгэлэнт газар,Алтан хөхий уул,Altan Khukhii Mountain,Ховд,Khovd,Мянгад,Myangad,48.78052,91.55165,Нутгийн ардууд Алтан Хөхий уулыг 1761 оноос хойш өнөөг хүртэл жил бүр тахиж ирсэн хамгийн эртний тахилгат уулын нэг юм. 2005 оны 3 дугаар сарын 30-нд Ерөнхийлөгчийн 44 дүгээр зарлигийг гаргуулан Алтан Хөхий уулыг төрийн тахилгатай уул болгожээ.,"Altan Khokhi Mountain is one of the oldest sacred mountains, having been worshipped annually by local people since 1761. On March 30, 2005, Presidential Decree No. 44 was issued, making Altan Khokhi Mountain a state sacred mountain.",https://www.dropbox.com/scl/fi/84qrw33y6lguag5htybg5/.jpg?rlkey=3gqqukwpryg401tfd3raf7nl3&raw=1,알탄 쿠키 산,アルタン クキ山,阿尔坦库希山,Гора Алтан Хухий,알탄호키산은 가장 오래된 신성한 산 중 하나로 1761년부터 지역 주민들이 매년 숭배해 왔습니다. 2005년 3월 30일 대통령령 제44호가 공포되어 알탄호키산이 국가의 신성한 산으로 지정되었습니다.,アルタン コーキ山は、1761 年以来地元の人々によって毎年崇拝されている最古の神聖な山の 1 つです。2005 年 3 月 30 日、大統領令第 44 号が公布され、アルタン コーキ山は州の神聖な山となりました。,阿勒坦霍希山是最古老的神山之一，自1761年以来，每年都受到当地人的朝拜。2005年3月30日，颁布第44号总统令，将阿勒坦霍希山列为国家圣山。,"Гора Алтан-Хохи - одна из древнейших священных гор, ей ежегодно поклоняются местные жители с 1761 года. 30 марта 2005 года был издан Указ Президента № 44, согласно которому гора Алтан-Хохи объявлена ​​государственной священной горой."
443,1,Байгалийн үзэсгэлэнт газар,Халзан бүрэгтэй уул,Khalzan Buregtei Mountain,Ховд,Khovd,Мянгад,Myangad,48.3868,91.95995,Мянгад сумын төвөөс зүүн хойд зүгт 18 км зайтай орших далайн түвшнээс дээш 2088.9 метр өргөгдсөн уул.  ,"A mountain 2088.9 meters above sea level, located 18 km northeast of the center of Myangad soum.",https://www.dropbox.com/scl/fi/bvnbqq7s0afqjrau5v0zs/.jpg?rlkey=qzi7kxg13jdbpv8usa2xrvbo5&raw=1,칼잔 부레그테이 산,ハルザン・ブレグテイ山,哈尔赞布雷格泰山,Гора Халзан Бурегтей,Myangad soum 중심에서 북동쪽으로 18km 떨어진 해발 2088.9m의 산.,ミャンガッド・スムの中心部から北東18kmに位置する標高2088.9メートルの山。,一座海拔2088.9米的山，位于Myangad soum市中心东北18公里处。,"Гора высотой 2088,9 метра над уровнем моря, расположенная в 18 км к северо-востоку от центра сума Мьянгад."
444,1,Байгалийн үзэсгэлэнт газар,Байтаг Богд уул,Baitag Bogd Mountain,Ховд,Khovd,Булган,Bulgan,45.28582,90.95946,Байтаг Богд нь Монгол улсын Ховд аймгийн Булган сумын нутагт оршдог уул. Оргил нь 3400 метр өндөр. Булган сумын төвөөс зүүн өмнө зүгт 120 км зайтай оршино.,"Baitag Bogd is a mountain located in Bulgan soum, Khovd province, Mongolia. Its peak is 3,400 meters high. It is located 120 km southeast of the center of Bulgan soum.",https://www.dropbox.com/scl/fi/x5bc39qqh09pm6zf0k4xd/.jpg?rlkey=uhokrs3tn1106fj9lhj8eu587&raw=1,바이탁 복드 산,バイタグ ボグド山,拜塔格博格德山,Гора Байтаг Богд,"Baitag Bogd는 몽골 Khovd 지방 Bulgan soum에 위치한 산입니다. 최고봉의 높이는 3,400m이다. 불간솜 중심에서 남동쪽으로 120km 떨어진 곳에 위치해 있다.","バイタグボグドは、モンゴルのホブド県ボルガンスムにある山です。頂上の高さは3,400メートルです。ボルガン ソムの中心部から南東 120 km に位置します。",白塔格博格德是位于蒙古科布多省布尔干苏姆的一座山。其主峰海拔3400米。它位于布尔干苏姆中心东南120公里处。,"Байтаг Богд — гора, расположенная в сомоне Булган провинции Ховд Монголии. Его вершина имеет высоту 3400 метров. Он расположен в 120 км к юго-востоку от центра Булганского сума."
445,1,Байгалийн үзэсгэлэнт газар,Бодончийн хавцал,Bodonch Canyon,Ховд,Khovd,Цэцэг,Tsetseg,45.98625,93.28533,"Ховд аймгийн төвөөс 300-400 км алслагдан, улсын хил дагуу байрлах Булган, Үенч, Алтай сумыг зориход 110 км үргэлжлэх Бодончийн хавцлыг дайран өнгөрдөг.","The road to Bulgan, Uench, and Altai soums, located 300-400 km from the center of Khovd aimag, passes through the 110 km long Bodonchi Gorge.",https://www.dropbox.com/scl/fi/j8iyt3uc79s4hthoebr3b/.jpg?rlkey=x1frr5e2fe95p5h3ut737uwgr&raw=1,보돈치 캐년,ボドンチ渓谷,博东奇峡谷,Бодончский каньон,"Khovd aimag 중심에서 300-400km 떨어진 Bulgan, Uench 및 Altai soums로 향하는 도로는 110km 길이의 Bodonchi 협곡을 통과합니다.",ホブドアイマグの中心部から 300 ～ 400 km の距離にあるボルガン、ウエンチ、アルタイの各スムスへの道は、長さ 110 km のボドンチ渓谷を通ります。,通往布尔干、乌恩奇和阿尔泰苏姆斯的公路距离科布多省中心300-400公里，穿过110公里长的博东奇峡谷。,"Дорога на сумы Булган, Уэнч и Алтай, расположенные в 300-400 км от центра Ховдского аймака, проходит через Бодончинское ущелье длиной 110 км."
446,1,Байгалийн үзэсгэлэнт газар,Далай нуур,Dalai Lake,Ховд,Khovd,Дөргөн,Durgun,48.20762,92.66519,"Хар нууртай залгаа орших энэ нуур далайн түвшнээс дээш 1132 метр өндөрт, 305 км.кв талбайтай, урт 24 км, өргөн нь 17 км байна. ","This lake, adjacent to Black Lake, is 1,132 meters above sea level, has an area of ​​305 square kilometers, is 24 kilometers long, and 17 kilometers wide.",https://www.dropbox.com/scl/fi/mqiptz47mk7f4nn8cgz2h/Dalailake.jpg?rlkey=p45qdoaqkpedrymrc4yhhvnol&raw=1,달라이 호수,ダライ湖,达赉湖,Озеро Далай,"흑호에 인접한 이 호수는 해발 1,132m, 면적 305평방킬로미터, 길이 24킬로미터, 폭 17킬로미터이다.","黒湖に隣接するこの湖は、標高 1,132 メートル、面積 305 平方キロメートル、長さ 24 キロメートル、幅 17 キロメートルです。",该湖毗邻黑湖，海拔1132米，面积305平方公里，长24公里，宽17公里。,"Это озеро, примыкающее к Черному озеру, находится на высоте 1132 метра над уровнем моря, имеет площадь 305 квадратных километров, длину 24 километра и ширину 17 километров."
447,1,Байгалийн үзэсгэлэнт газар,Дөргөн нуур,Durgun Lake,Ховд,Khovd,Чандмань,Chandmani,47.676,93.442,"Хамгийн гүнзгий хэсэгтээ 27 метр, хамгийн өргөн хэсэгтээ 16.8 км, хамгийн урт нь 24 км юм. Чандмань сумын төвөөс зүүн зүгт 45 км зайтай оршино.","It is 27 meters deep at its deepest point, 16.8 km at its widest point, and 24 km long. It is located 45 km east of the center of Chandman soum.",https://www.dropbox.com/scl/fi/av6p24p5j3im30vru5zba/.jpg?rlkey=xq8ddokdn2tp3a8g6vqgdpuy0&raw=1,두르군 호수,ドゥルグン湖,杜尔古纳湖,Озеро Дургун,"가장 깊은 곳의 깊이는 27m, 가장 넓은 곳의 길이는 16.8km, 길이는 24km이다. Chandman soum 중심에서 동쪽으로 45km 떨어져 있습니다.",深さは最も深い部分で 27 メートル、最も広い部分で 16.8 km、長さは 24 km です。チャンドマン・スームの中心部から東に45kmに位置しています。,最深处27米，最宽处16.8公里，长24公里。它位于昌德曼苏姆中心以东45公里处。,"Глубина озера составляет 27 метров в самой глубокой точке, 16,8 км в самом широком месте и 24 км в длину. Он расположен в 45 км к востоку от центра сума Чандман."
448,2,Түүхийн дурсгалт газар,Дөргөний усан цахилгаан станц,Durgun Hydropower Plant,Ховд,Khovd,Дөргөн,Durgun,48.32617,92.8073,Дөргөн сумын төвөөс зүүн өмнө зүгт 15 км зайтай оршино.,It is located 15 km southeast of the center of Durgun soum.,https://www.dropbox.com/scl/fi/f889nqc1wawskpd33da59/.jpg?rlkey=2ja14v6t8mtklq6xtmqp8x3b8&raw=1,Durgun 수력 발전소,ドゥルグン水力発電所,杜尔贡水电站,Дургунская ГЭС,Durgun soum 중심에서 남동쪽으로 15km 떨어져 있습니다.,ドゥルグン・ソムの中心部から南東15kmに位置しています。,它位于杜尔古纳苏姆中心东南15公里处。,Расположен в 15 км к юго-востоку от центра сума Дургун.
449,1,Байгалийн үзэсгэлэнт газар,Их тойруулга нуур,Ikh Toiruulga Nuur,Ховд,Khovd,Мөст,Must,46.72927,93.21449,Мөст сумын төвөөс зүүн зүгт 44 км зайтай оршино.,It is located 44 km east of the center of Must soum.,https://www.dropbox.com/scl/fi/adht2obvsgxl7xnz50gu4/.jpg?rlkey=d3b8q247agi601hw8c93vsh1i&raw=1,이크 토이룰가 누르,イク・トイルウルガ・ヌール,伊赫·托伊鲁尔加·努尔,Их Тойруулга Нуур,머스트숨(Must soum) 중심에서 동쪽으로 44km 떨어져 있다.,マスト・ソムの中心部から東に44kmに位置しています。,它位于Must soum中心以东44公里处。,Он расположен в 44 км к востоку от центра Сума Муст.
450,1,Байгалийн үзэсгэлэнт газар,Мөнххайрхан уул (4362м),Munkhkhairkhan Mountain (4362m),Ховд,Khovd,Мөнхайрхан,Munkhairkhan,46.891,91.473,"Баян-Өлгий аймгийн Булган сум, Ховд аймгийн Мөнххайрхан сумын хил залгаа нутгийг дамнан 40-80 км-ийн өргөнтэйгээр баруун хойноос зүүн урагш 200 гаруй км үргэлжилдэг.Алтайн нурууны 2 дахь өндөр оргил бөгөөд  далайн түвшнээс дээш 4362 метр өндөртэй ","It stretches for more than 200 km from northwest to southeast, with a width of 40-80 km, across the border of Bulgan soum of Bayan-Olgii aimag and Munkhkhairkhan soum of Khovd aimag. It is the second highest peak in the Altai Mountains and is 4362 meters above sea level.",https://www.dropbox.com/scl/fi/2h5xfd1e0cgvefdn5y9zj/.jpg?rlkey=u4xb3lxcw67okqna1983kpuro&raw=1,문크카이르칸 산,ムンクハイルカン山,蒙克凯尔汗山,Гора Мунххайрхан,북서쪽에서 남동쪽으로 200km 이상 뻗어 있으며 너비는 40~80km이며 Bayan-Olgii aimag의 Bulgan soum과 Khovd aimag의 Munkhkhairkhan soum 경계를 가로지릅니다. 알타이 산맥에서 두 번째로 높은 봉우리로 해발 4362m이다.,"バヤン・オルギアイマグ県のボルガン・ソムとホブド・アイマグ県のムンクハイルハン・ソムの境界を越え、幅40～80km、北西から南東まで200km以上にわたって伸びている。アルタイ山脈で 2 番目に高い山で、標高は 4,362 メートルです。",西北向东南绵延200余公里，宽40-80公里，横跨巴彦乌列盖省布尔干苏姆和科布多省蒙克海尔罕苏姆边境。它是阿尔泰山第二高峰，海拔4362米。,"Он протянулся более чем на 200 км с северо-запада на юго-восток, шириной 40-80 км, через границу сума Булган аймака Баян-Улгий и сума Мунххайрхан аймака Ховд. Это вторая по высоте вершина Горного Алтая, высота которой составляет 4362 метра над уровнем моря."
451,1,Байгалийн үзэсгэлэнт газар,Мэлхий хад Ховд,Frog  Rock,Ховд,Khovd,Мөнхайрхан,Munkhairkhan,47.03173,91.77066,Мөнххайрхан сумын төвөөс баруун зүгт 10 км зайтай оршино.,It is located 10 km west of the center of Munkhkhairkhan soum.,https://www.dropbox.com/scl/fi/n1x7rjo0yz4yjdyx12hwv/2.jpg?rlkey=26lx5shgyzd0uidktur28vby1&raw=1,개구리바위,カエル岩,青蛙岩,Лягушачья скала,Munkhkhairkhan Soum에서 서쪽으로 10km 떨어져 있습니다.,ムンクハイルカン・ソムから西に10kmに位置します。,它位于Munkhkhairkhan Soum市中心以西10公里处。,Он расположен в 10 км к западу от центра Сума Мунххайрхан.
452,2,Түүхийн дурсгалт газар,Шуурхайн хүн чулуу,Shuurkhai Man Stone,Ховд,Khovd,Мөнхайрхан,Munkhairkhan,46.92783,91.76579,Мөнххайрхан сумын төвөөс баруун өмнө зүгт 30 км зайтай оршино.,It is located 30 km southwest of the center of Munkhkhairkhan soum.,https://www.dropbox.com/scl/fi/6srps4y98c12a58fb5f0b/.jpg?rlkey=q41gdzwr2e8h83jkyfd9gel4q&raw=1,슈르카인 석상,「シュールカイン」の石像,“舒尔海因”石像,Каменная статуя Шуурхайн,Munkhkhairkhan soum 중심에서 남서쪽으로 30km 떨어져 있습니다.,ムンクハイルカン・ソムの中心部から南西に 30 km に位置します。,它位于Munkhkhairkhan soum中心西南30公里处。,Расположен в 30 км к юго-западу от центра сомона Мунххаирхан.
453,1,Байгалийн үзэсгэлэнт газар,Хөх нуурын хүрхрээ,Blue Lake Waterfall,Ховд,Khovd,Мөнххайрхан,Munkhkhairkhan,46.84909,91.76639,Мөнххайрхан сумын төвөөс баруун өмнө зүгт 40 км зайтай оршино.,It is located 40 km southwest of the center of Munkhkhairkhan soum.,https://www.dropbox.com/scl/fi/fpm8y0g7qz4rzdh9dcail/..jpg?rlkey=qgmb4wmyrgrd9iatecar0h4xt&raw=1,블루 레이크 폭포,ブルーレイク滝,蓝湖瀑布,Водопад Голубого озера,Munkhkhairkhan soum 중심에서 남서쪽으로 40km 떨어져 있습니다.,ムンクハイルカン・ソムの中心部から南西に 40 km に位置します。,它位于Munkhkhairkhan soum中心西南40公里处。,Расположен в 40 км к юго-западу от центра сомона Мунххаирхан.
454,1,Байгалийн үзэсгэлэнт газар,Рашаант хүрхрээ,Rashaant Waterfall,Ховд,Khovd,Манхан,Mankhan,47.72521,92.49847,Манхан сумын төвөөс зүүн хойд зүгт 40 шахам км зайтай оршино.,It is located approximately 40 km northeast of the center of Mankhan soum.,https://www.dropbox.com/scl/fi/2mum8d5eomz78vsa8201u/.jpeg?rlkey=ujptc10bc19ywtw895cs5g9kp&raw=1,라샤안트 폭포,ラシャーントの滝,拉桑特瀑布,Водопад Рашаант,만칸솜(Mankhan soum) 중심에서 북동쪽으로 약 40km 떨어진 곳에 위치해 있다.,マンカン・ソムの中心部から北東約40kmに位置する。,它位于Mankhan soum中心东北约40公里处。,Он расположен примерно в 40 км к северо-востоку от центра сомона Манхан.
455,1,Байгалийн үзэсгэлэнт газар,Улаан богочийн рашаан,Ulaan Bogoch Mineral Water,Ховд,Khovd,Жаргалант,Jargalant,48.02963,91.65341,Аймгийн төв Ховд хотоос хойд зүгт 2.5 км зайтай оршино.,The provincial capital is located 2.5 km north of Khovd city.,https://www.dropbox.com/scl/fi/dllcc9elt0tmbkyoux0z9/.jpg?rlkey=frpnmjipyah89a98hn6tntauj&raw=1,울란보고치 생수,ウラン ボゴチ ミネラルウォーター,乌兰博格奇矿泉水,Минеральная вода Улан Богоч,주도는 호브드 시에서 북쪽으로 2.5km 떨어져 있다.,州都はホブド市の北 2.5 km に位置します。,省会位于科布多市以北2.5公里处。,"Столица провинции расположена в 2,5 км к северу от города Ховд."
456,1,Байгалийн үзэсгэлэнт газар,Хар нуур (Ховд),Khar Lake (Khovd),Ховд,Khovd,"Чандмань, Дөргөн","Chandmani, Durgun",48.10357,93.21928,Чандмань сумын төвөөс зүүн зүгт 68 км зайтай оршино. Өмнөд хэсэгт орших Дөргөн нууртай хоолойгоор холбогдоно.,It is located 68 km east of the center of Chandman soum. It is connected to Lake Dorgen in the south by a canal.,https://www.dropbox.com/scl/fi/228trtln487zgm6uamgsv/.jpg?rlkey=sfa4d1lyhik0rjzt1dfrahxpy&raw=1,카르 호수,カール湖,卡尔湖,Озеро Хар,Chandman soum 중심에서 동쪽으로 68km 떨어져 있습니다. 남쪽의 도르겐 호수와 운하로 연결되어 있습니다.,チャンドマン・スームの中心部から東に68kmに位置しています。南のドルゲン湖とは運河でつながっています。,它位于昌德曼苏姆中心以东68公里处。南有运河与多尔根湖相连。,Он расположен в 68 км к востоку от центра сума Чандман. Он соединен с озером Дорген на юге каналом.
457,1,Байгалийн үзэсгэлэнт газар,Хар-Ус нуур,Khar-Us Lake,Ховд,Khovd,"Буянт,",Buyant,47.9815,92.12107,"Монголын том нууруудын нэг Хар-Ус нуур нь 1153 км.кв талбайтай, 72км урт, 26км өргөн, эргийн урт 306.8 км, дундаа аралтай, урд захаараа хулс, шагшуургатай нуур юм.","One of Mongolia's largest lakes, Khar-Us Lake, has an area of ​​1,153 square kilometers, is 72 kilometers long, 26 kilometers wide, and has a coastline of 306.8 kilometers. It has an island in the middle and is covered with bamboo and sedge along its southern edge.",https://www.dropbox.com/scl/fi/2kt7b6xllwsqsssamtk20/.jpg?rlkey=kyutti9mkxj4lfvicefa2albw&raw=1,카르우스 호수,カルウス湖,卡尔乌斯湖,Озеро Хар-Ус,"몽골 최대 호수 중 하나인 카르우스 호수는 면적 1,153km², 길이 72km, 폭 26km, 해안선 길이 306.8km이다. 중앙에 섬이 있고 남쪽 가장자리를 따라 대나무와 사초로 덮여 있습니다.","モンゴル最大の湖の一つであるハルウス湖は、面積1,153平方キロメートル、長さ72キロメートル、幅26キロメートル、海岸線306.8キロメートルを持っています。中央に島があり、南端に沿って竹とスゲで覆われています。",蒙古最大的湖泊之一卡尔乌斯湖面积1153平方公里，长72公里，宽26公里，岸线长306.8公里。它的中间有一个岛，南边长满了竹子和莎草。,"Одно из крупнейших озер Монголии, озеро Хар-Ус, имеет площадь 1153 квадратных километра, длину 72 километра, ширину 26 километров и береговую линию длиной 306,8 километра. В центре есть остров, а южный край покрыт бамбуком и осокой."
458,1,Байгалийн үзэсгэлэнт газар,Ховд гол,Khovd River,Ховд,khovd,Эрдэнэбүрэн,"Erdeneburen, Myangad",48.22414,91.97521,"Монгол Алтайн нурууны тэргүүн оргил Таван Богдын зүүн өмнөд мөсөн голоос эх авч урсах Цагаан гол , ховд голыг Ховдын эх гэж үздэг. Энэ хоёр гол нь Хотон нуур, Хурган нууруудыг дайран олон гол горхи нийлүүлсээр Их нууруудын хотгорын Хар-Ус нуурт цутгана.[1]","The Tsagaan River and the Khovd River, which originate from the southeastern glacier of Tavan Bogd, the highest peak in the Mongolian Altai Mountains, are considered the source of the Khovd River. These two rivers, which flow through the Khoton Lake and Khurgan Lake, merge into many streams and drain into the Khar-Us Lake in the Great Lakes Basin.[1]",https://www.dropbox.com/scl/fi/6xx551fq2ggl0osd3tx4e/.jpg?rlkey=thdnwzk9ytmf88922w53qihf5&raw=1,호브드 강,ホブド川,科布多河,Река Ховд,몽골 알타이산맥의 최고봉인 타반복드 남동쪽 빙하에서 발원하는 차강강과 호브드강이 호브드강의 발원지로 여겨진다. 코톤 호수(Khoton Lake)와 쿠르간 호수(Khurgan Lake)를 통해 흐르는 이 두 강은 많은 하천으로 합쳐져 오대호 분지의 카르우스 호수(Khar-Us Lake)로 흘러갑니다.[1],モンゴルのアルタイ山脈の最高峰であるタワン・ボグドの南東氷河に源を発するツァガーン川とホブド川が、ホブド川の源流と考えられています。コートン湖とクルガン湖を流れるこれら 2 つの川は多くの流れに合流して、五大湖盆地のハルウス湖に流れ込みます。,查干河和科布多河发源于蒙古阿尔泰山脉最高峰塔万博格德东南部冰川，被认为是科布多河的源头。这两条河流流经霍顿湖和库尔干湖，汇成许多溪流，流入五大湖盆地的卡尔乌斯湖。 [1],"Истоком реки Ховд считаются реки Цагаан и реки Ховд, берущие начало из юго-восточного ледника Таван Богд, самой высокой вершины Монгольского Алтая. Эти две реки, протекающие через озера Хотон и Хурган, сливаются во множество ручьев и впадают в озеро Хар-Ус в бассейне Великих озер.[1]"
459,1,Байгалийн үзэсгэлэнт газар,Хойд цэнхэрийн агуй,Northern Blue Cave,Ховд,Khovd,Манхан,Mankhan,47.34736,91.95668,Манхан сумын төвөөс баруун өмнө зүгт 25 км зайтай оршино.,It is located 25 km southwest of the center of Mankhan soum.,https://www.dropbox.com/scl/fi/725n7dg85uah05emei154/.jpg?rlkey=cnithtzmq4kxkxor67vmom7wl&raw=1,북쪽 블루 케이브,北方の青の洞窟,北部蓝洞,Северная Голубая Пещера,Mankhan soum 중심에서 남서쪽으로 25km 떨어져 있습니다.,マンカン ソムの中心部から南西 25 km に位置します。,它位于Mankhan soum中心西南25公里处。,Он расположен в 25 км к юго-западу от центра сомона Манхан.
460,1,Байгалийн үзэсгэлэнт газар,Хөдөө нуур(Ховд),Khuduu Lake(Khovd),Ховд,Khovd,Зэрэг,Zereg,47.10598,92.79624,Зэрэг сумаас баруун зүгт 2.7 км зайтай оршино.,It is located 2.7 km west of Zereg soum.,https://www.dropbox.com/scl/fi/g6atm9mzciupo7m7ef4la/.jpg?rlkey=8onnmucs6cisz5tex0vpb1lcb&raw=1,쿠두 호수,クドゥ湖,库杜湖,Озеро Худуу,Zereg soum에서 서쪽으로 2.7km 떨어져 있습니다.,ゼレグ ソムの西 2.7 km に位置します。,它位于Zereg soum以西2.7公里处。,"Он расположен в 2,7 км к западу от сума Зерег."
461,1,Байгалийн үзэсгэлэнт газар,Хясаа нуур,Oyster Lake,Ховд,Khovd,Үенч,Uench,46.10207,92.04649,Үенч сумын төвөөс хойд зүгд 4.5 км зайтай оршдог хиймэл нуур юм.,It is an artificial lake located 4.5 km north of the center of Uench soum.,https://www.dropbox.com/scl/fi/wzoert8hgojm6i26bjh6q/.jpg?rlkey=t3isnmelm9fih8ripl10629u0&raw=1,오이스터 레이크,オイスターレイク,牡蛎湖,Озеро Ойстер,은치솜 중심에서 북쪽으로 4.5km 떨어진 곳에 위치한 인공호수이다.,ウエンチ・ソムの中心部から北に4.5kmのところにある人造湖です。,这是一个人工湖，位于 Uench soum 中心以北 4.5 公里处。,"Это искусственное озеро, расположенное в 4,5 км к северу от центра сума Унч."
462,1,Байгалийн үзэсгэлэнт газар,Цэцэг нуур,Tsetseg Lake,Ховд,Khovd,Цэцэг,Tsetseg,46.66636,93.25152,Цэцэг сумын төвөөс хойд зүгт 15 км зайтай оршино.,It is located 15 km north of the center of Tsetseg soum.,https://www.dropbox.com/scl/fi/4dvez6y93c0lf3okx8fgo/.jpg?rlkey=m6usgvv0gmwnyx5j15krapea9&raw=1,체체그 호수,ツェツェグ湖,采采格湖,Озеро Цецег,체체그솜(Tsetseg soum) 중심에서 북쪽으로 15km 떨어져 있습니다.,ツェツェグ ソムの中心部から北に 15 km に位置します。,它位于Tsetseg soum中心以北15公里处。,Он расположен в 15 км к северу от центра сума Цэцег.
463,1,Байгалийн үзэсгэлэнт газар,Жаргалан хайрхан уул (3797м),Jargalant Khairkhan Mountain (3797m),Ховд,Khovd,Манхан,Mankhan,47.6872,92.56369,Манхан сумын төвөөс зүүн хойд зүгт далайн түвшнээс дээш 3796 метр өргөөгдсөн хайрхан юм.,"It is a mountain located northeast of the center of Mankhan soum, 3,796 meters above sea level.",https://www.dropbox.com/scl/fi/zwm80ynli2ukwlie9xil2/.jpg?rlkey=mnk6i2z0onb2j7k7rrzid26tc&raw=1,자르갈란트 카이르칸 산,ジャルガラント・ハイルハン山,贾尔加兰特·海尔汗山,Гора Джаргалант Хайрхан,"만칸솜 중심 북동쪽에 위치한 산으로 해발 3,796m이다.","マンカンスーム中心部の北東に位置する標高3,796メートルの山です。","它是一座位于曼汗苏姆中心东北部的山，海拔3,796米。","Это гора, расположенная к северо-востоку от центра сума Манхан, на высоте 3796 метров над уровнем моря."
